key,es,gl
day1,"Acabas de abrir un [color=yellow]museo de criaturas fantásticas[/color]. La gente es tan ingenua que vendrá a visitarte, intrigada por las antiguas [color=yellow]leyendas del bosque[/color] cercano.\n\nEn realidad compraste una tienda de réplicas de animales y simplemente los [color=yellow]cortarás y mezclarás para montar tus propios mitos[/color]. [wave amp=12][i]""Mentalidad de tiburón""[/i][/wave], te dices a ti misme.\n\nPronto abrirá el museo y debes dejar todo preparado para la inauguración.\n\n¿Qué nombre le pondrás a tu museo?","Acabas de abrir un [color=yellow]museo de criaturas fantásticas[/color]. A xente é tan inxénua que virá a visitarte, intrigada polas antigas [color=yellow]lendas do bosque[/color] cercano.\n\nEn realidade compraches unha tenda de réplicas de animais e simplemente os [color=yellow]cortarás e mesturarás para montar os teus propios mitos[/color]. [wave amp=12][i]""Mentalidade de tiburón""[/i][/wave], dische a ti mesme.\n\nPronto abrirá o museo e debes deixar todo preparado para a inauguración.\n\n¿Que nome lle porás ao teu museo?"
day2,"El primer día ha sido un éxito, ""nos vamos a hacer de oro"", piensas.\n\nA la gente parecen atraerle especialmente las [color=yellow]criaturas peligrosas[/color], quizá sea buena idea ir en esa dirección...","O primeiro día foi un éxito, ""ímonos facer de ouro"", pensas.\n\nÁ xente parecen atraerlle especialmente as [color=yellow]criaturas perigosas[/color], quizais sea boa idea ir nesa dirección..."
day3,"¡Este es el día decisivo para asentarte como el museo referente de la región!\n\nSabes que hoy vendrán visitas escolares, así que puede ser buena idea tirar por [color=yellow]criaturas que podrían ser mascotas[/color].","Este é o día decisivo para asentarte como o museo referente da rexión!\n\nSabes que hoxe virán visitas escolares, así que pode ser boa idea tirar por [color=yellow]criaturas que poderían ser mascotas[/color]."
credits,"Juego de Clovisindo e Daenvil, para a CoruJam III","Xogo de Clovisindo e Daenvil, para a CoruJam III"
flip_h,Reflejar\nHorizontal,Reflectir\nHorizontal
flip_v,Reflejar\nVertical,Reflectir\nVertical
hint,(Arrastra partes al lienzo para colocarlas),(Arrastra partes ao lenzo para colocalas)
put_name,Esta es tu creación. Qué nombre tiene?,Esta é a túa creación. Que nome ten?
low1,¡Vaya timo! A este [color=#00aa00]%s[/color] se le ve el pegamento entre las extremidades...,¡Vaia timo! A este [color=#00aa00]%s[/color] véselle o pegamento entre as extremidades...
low2,Este [color=#00aa00]%s[/color] no se parece en nada a como aparece en los libros.,Este [color=#00aa00]%s[/color] non se parece en nada a como aparece nos libros.
low3,"No sé, este [color=#00aa00]%s[/color] parece falso...","Non sei, este [color=#00aa00]%s[/color] parece falso...",
low4,"Le ha arruinado la navidad a mis hijos. Nunca te lo perdonaré, [color=#00aa00]%s[/color].","Arruinoulle o nadal aos meus fillos. Nunca cho perdonarei, [color=#00aa00]%s[/color]."
mid1,"¡Qué interesante! No conocía al [color=#00aa00]%s[/color].","¡Que interesante! Non coñecía ao [color=#00aa00]%s[/color]."
mid2,"Este [color=#00aa00]%s[/color] me recuerda a los cuentos que me contaba mi madre.","Este [color=#00aa00]%s[/color] lémbrame aos contos que me contaba miña nai."
mid3,"Qué curioso, ojalá existiese [color=#00aa00]%s[/color] en la vida real","Que curioso, oxalá existise [color=#00aa00]%s[/color] na vida real"
high1,"Wow! Juraría que una vez vi une [color=#00aa00]%s[/color] como este en el bosque.","Wow! Xuraría que unha vez vin unhe [color=#00aa00]%s[/color] como este no bosque."
high2,"Supera a como me lo imaginaba! Qué bien poder ver une [color=#00aa00]%s[/color] real.","Supera a como o imaxinaba! Que ben poder ver unhe [color=#00aa00]%s[/color] real."
high3,"Me puedo llevar al [color=#00aa00]%s[/color]? A mis hijas les encantaría.","Podo levarme ao [color=#00aa00]%s[/color]? Ás miñas fillas encantaríalle."
badname1,[color=#00aa00]%s[/color]? Vaya nombre más tonto...,[color=#00aa00]%s[/color]? Vaia nome máis tonto...
badname2,"[color=#00aa00]%s[/color] parece un nombre inventado.","[color=#00aa00]%s[/color] parece un nome inventado."
goodname1,[color=#00aa00]%s[/color], qué bien suena ese nombre!,[color=#00aa00]%s[/color], que ben soa ese nome!
goodname2,"Qué poético el nombre [color=#00aa00]%s[/color]. A quién se le ocurriría?","Que poético o nome [color=#00aa00]%s[/color]. A quen se lle ocorrería?"
badtheme1,"En serio [color=#00aa00]%s[/color] vive en el bosque? No parece adaptado a este terreno.","En serio [color=#00aa00]%s[/color] vive no bosque? Non parece adaptado a este terreo."
badtheme2,Se supone que este [color=#00aa00]%s[/color] es peligroso? No lo parece para nada...,Suponse que este [color=#00aa00]%s[/color] é perigoso? Non o parece para nada...
badtheme3,Qué feo es este [color=#00aa00]%s[/color]! No soporto verlo.,Que feo é este [color=#00aa00]%s[/color]! Non soporto velo.
goodtheme1,Interesante. Este [color=#00aa00]%s[/color] parece perfectamente adaptado para la supervivencia en el bosque.,Interesante. Este [color=#00aa00]%s[/color] parece perfectamente adaptado para a supervivencia no bosque.
goodtheme2,"No me gustaría enfrentarme a une [color=#00aa00]%s[/color], espero que ya se extinguieran.","Non me gustaría enfrentarme a unhe [color=#00aa00]%s[/color], espero que xa se extinguisen."
goodtheme3,"Que riquiño é este [color=#00aa00]%s[/color]! Podo levarmo a casa?!"
similar,"Este [color=#00aa00]%s[/color] se parece sospechosamente a %s [color=#00aa00]%s[/color]....","Este [color=#00aa00]%s[/color] parécese sospeitosamente a %s [color=#00aa00]%s[/color]...."
